r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.84210526315789473685	1* 10^-20
2	0.95013850415512465374	1* 10^-20
3	0.96690526315789473685	1* 10^-20
4	0.98009050415512465374	1* 10^-20
5	0.99144274447003936434	1* 10^-20
6	0.99675289766422295716	1* 10^-20
7	0.99799863823003936434	1* 10^-20
8	0.99864099506710295716	1* 10^-20
9	0.99937251186740312332	1* 10^-20
10	0.99974852305330225453	1* 10^-20
11	0.99986843197885397260	1* 10^-20
12	0.99989729908673750931	1* 10^-20
13	0.99995005598535051143	1* 10^-20
14	0.99997928465790133295	1* 10^-20
15	0.99999144857239369476	1* 10^-20
16	0.99999192821176179622	1* 10^-20
17	0.99999587274298354619	1* 10^-20
18	0.99999823879781024383	1* 10^-20
19	0.99999931249349182189	1* 10^-20
20	0.99999935549782840734	1* 10^-20
