r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.90476190476190476191	1* 10^-20
2	0.98185941043083900227	1* 10^-20
3	0.99654464960587409568	1* 10^-20
4	0.99926741043083900227	1* 10^-20
5	0.99932992960587409568	1* 10^-20
6	0.99978748282016649442	1* 10^-20
7	0.99994593898136504656	1* 10^-20
8	0.99998752961418762792	1* 10^-20
9	0.99999727700058796723	1* 10^-20
10	0.99999942570339273129	1* 10^-20
11	0.99999948495737549491	1* 10^-20
12	0.99999981822904384732	1* 10^-20
13	0.99999995079387622515	1* 10^-20
14	0.99999998810270848988	1* 10^-20
15	0.99999999729927331784	1* 10^-20
16	0.99999999941114380674	1* 10^-20
17	0.99999999956817960435	1* 10^-20
18	0.99999999982602952770	1* 10^-20
19	0.99999999995037640955	1* 10^-20
20	0.99999999998760339984	1* 10^-20
