r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.93181818181818181819	1* 10^-20
2	0.99070247933884297521	1* 10^-20
3	0.99873215627347858753	1* 10^-20
4	0.99982711221911071649	1* 10^-20
5	0.99997642439351509771	1* 10^-20
6	0.99998470581911071649	1* 10^-20
7	0.99999533562551509771	1* 10^-20
8	0.99999905449241024060	1* 10^-20
9	0.99999983393236401463	1* 10^-20
10	0.99999997289823933436	1* 10^-20
11	0.99999999576956449094	1* 10^-20
12	0.99999999935895352585	1* 10^-20
13	0.99999999990488430314	1* 10^-20
14	0.99999999995526232382	1* 10^-20
15	0.99999999998240444688	1* 10^-20
16	0.99999999999612363328	1* 10^-20
17	0.99999999999928245843	1* 10^-20
18	0.99999999999987807477	1* 10^-20
19	0.99999999999998031578	1* 10^-20
20	0.99999999999999692859	1* 10^-20
