r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.80555555555555555556	1* 10^-20
2	0.92438271604938271605	1* 10^-20
3	0.92875555555555555556	1* 10^-20
4	0.95887871604938271605	1* 10^-20
5	0.98025215846364883402	1* 10^-20
6	0.98669629044938271605	1* 10^-20
7	0.98998830950364883402	1* 10^-20
8	0.99453988588530343546	1* 10^-20
9	0.99737858330520840268	1* 10^-20
10	0.99761756890717658746	1* 10^-20
11	0.99848654919308273740	1* 10^-20
12	0.99921227403169114620	1* 10^-20
13	0.99951030967347862268	1* 10^-20
14	0.99959447794437227670	1* 10^-20
15	0.99976633227393574033	1* 10^-20
16	0.99988274261493100712	1* 10^-20
17	0.99990019314858132387	1* 10^-20
18	0.99993271734146535831	1* 10^-20
19	0.99996366407702907773	1* 10^-20
20	0.99998014689361941233	1* 10^-20
