r	rho_r^{-1}(0.5)	err
0	0.50000000000000000001	1* 10^-20
1	0.97916666666666666667	1* 10^-20
2	0.99913194444444444445	1* 10^-20
3	0.99996383101851851852	1* 10^-20
4	0.99999849295910493828	1* 10^-20
5	0.99999993720662937243	1* 10^-20
6	0.99999999738360955719	1* 10^-20
7	0.99999999989098373155	1* 10^-20
8	0.99999999999545765549	1* 10^-20
9	0.99999999999981073565	1* 10^-20
10	0.99999999999999211399	1* 10^-20
11	0.99999999999999967142	1* 10^-20
12	0.99999999999999998631	1* 10^-20
13	0.99999999999999999943	1* 10^-20
14	0.99999999999999999998	1* 10^-20
15	1.0	1* 10^-20
